CglibProxySource.java,org.apache.commons.pool2.proxy.CglibProxySource,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,createProxy,47,TIMED_OUT,none
CglibProxySource.java,org.apache.commons.pool2.proxy.CglibProxySource,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,createProxy,51,TIMED_OUT,none
CglibProxySource.java,org.apache.commons.pool2.proxy.CglibProxySource,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,resolveProxy,68,TIMED_OUT,none
CglibProxySource.java,org.apache.commons.pool2.proxy.CglibProxySource,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,toString,80,NO_COVERAGE,none
BaseProxyHandler.java,org.apache.commons.pool2.proxy.BaseProxyHandler,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,disableProxy,71,KILLED,org.apache.commons.pool2.proxy.TestProxiedKeyedObjectPoolWithJdkProxy.testBorrowObject(org.apache.commons.pool2.proxy.TestProxiedKeyedObjectPoolWithJdkProxy)
BaseProxyHandler.java,org.apache.commons.pool2.proxy.BaseProxyHandler,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,doInvoke,100,KILLED,org.apache.commons.pool2.proxy.TestProxiedKeyedObjectPoolWithJdkProxy.testAccessAfterReturn(org.apache.commons.pool2.proxy.TestProxiedKeyedObjectPoolWithJdkProxy)
BaseProxyHandler.java,org.apache.commons.pool2.proxy.BaseProxyHandler,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,doInvoke,103,KILLED,org.apache.commons.pool2.proxy.TestProxiedKeyedObjectPoolWithJdkProxy.testAccessAfterReturn(org.apache.commons.pool2.proxy.TestProxiedKeyedObjectPoolWithJdkProxy)
BaseProxyHandler.java,org.apache.commons.pool2.proxy.BaseProxyHandler,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,doInvoke,98,KILLED,org.apache.commons.pool2.proxy.TestProxiedKeyedObjectPoolWithJdkProxy.testAccessAfterReturn(org.apache.commons.pool2.proxy.TestProxiedKeyedObjectPoolWithJdkProxy)
BaseProxyHandler.java,org.apache.commons.pool2.proxy.BaseProxyHandler,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,doInvoke,101,TIMED_OUT,none
PoolImplUtils.java,org.apache.commons.pool2.impl.PoolImplUtils,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,getFactoryType,52,SURVIVED,none
PoolImplUtils.java,org.apache.commons.pool2.impl.PoolImplUtils,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,getFactoryType,44,KILLED,org.apache.commons.pool2.impl.TestPoolImplUtils.testFactoryTypeSimple(org.apache.commons.pool2.impl.TestPoolImplUtils)
