Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DirectoryWalkerTestCase.java",1,1,1,1,9,0,7,1,,,,6,1,20,41,,41,40,6,41,,2,5,19,15,,573,71,370,148,203,132,,,,197,268,125,143,,,,,,6,6,6,1,,,2,,,,0.36,67,67,67,41
File,"DirectoryWalkerTestCaseJava4.java",1,1,1,1,10,0,6,2,,,,5,1,20,36,,36,35,6,36,,2,4,16,14,,538,64,324,138,175,151,,,,177,238,115,123,,,,,,3,3,3,1,,,2,,,,0.47,54,54,54,36
File,"EmptyFileFilter.java",1,1,2,1,9,0,4,5,,,,1,0,3,2,,2,2,0,2,,0,0,1,1,,86,8,18,11,7,60,,,,9,13,10,3,,,,,,2,2,3,1,,,1,,,,3.33,3,3,4,2
File,"EndianUtils.java",1,1,1,1,13,0,6,6,,,,1,30,0,31,,31,1,0,31,,0,1,0,30,,481,45,200,71,102,236,,,,81,115,57,58,,,,,,2,2,2,1,,,1,,,,1.18,33,33,33,31
File,"EndianUtilsTest.java",1,1,1,1,10,0,9,0,,,,1,0,0,22,,22,22,0,22,,0,0,0,22,,316,44,243,99,165,29,,,,170,196,78,118,,,,,,2,2,2,1,,,1,,,,0.12,24,24,24,22
File,"ExtensionFileComparator.java",1,1,1,1,9,0,3,6,,,,1,0,7,4,,4,4,1,4,,0,0,0,4,,123,15,34,25,13,74,,,,20,25,21,4,,,,,,2,2,2,1,,,0,,,,2.18,5,5,5,4
File,"ExtensionFileComparatorTest.java",1,1,1,1,11,0,10,1,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,58,8,30,14,16,21,,,,22,25,12,13,,,,,,1,1,1,1,,,0,,,,0.70,2,2,2,2
File,"FalseFileFilter.java",1,1,1,1,8,0,2,5,,,,1,0,3,3,,3,3,0,3,,0,0,1,2,,75,7,18,12,5,50,,,,8,12,10,2,,,,,,1,1,1,1,,,0,,,,2.78,3,3,3,3
File,"FileAlterationListener.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,8,8,0,8,,8,0,0,0,,86,9,12,11,0,65,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,5.42,0,0,0,0
File,"FileAlterationListenerAdaptor.java",1,1,1,1,8,0,2,6,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,110,11,28,19,0,71,,,,2,11,11,0,,,,,,1,1,1,1,,,0,,,,2.54,8,8,8,8
File,"FileAlterationMonitor.java",2,2,2,1,12,0,6,5,,,,1,0,0,12,,12,12,5,12,,0,0,0,12,,195,15,93,23,45,87,,,,33,65,26,39,,,,,,5,5,5,3,,,2,,,,0.94,27,27,27,14
File,"FileAlterationMonitorTestCase.java",1,1,1,1,21,2,14,5,,,,2,0,0,8,,8,8,1,8,,0,1,0,7,,215,30,126,42,85,65,,,,91,106,40,66,,,,,,3,3,3,3,,,2,,,,0.52,13,13,13,10
File,"FileAlterationObserver.java",2,2,2,1,13,0,7,6,,,,1,0,1,23,,23,23,4,23,,0,7,1,15,,475,31,199,54,108,245,,,,92,150,59,91,,,,,,6,6,8,1,,,3,,,,1.23,54,54,58,23
File,"FileAlterationObserverTestCase.java",1,1,1,1,37,3,27,5,,,,1,0,0,9,,9,9,0,9,,0,0,1,8,,386,46,271,64,233,72,,,,242,252,57,195,,,,,,1,1,1,1,,,0,,,,0.27,9,9,9,9
File,"FileCleaner.java",1,1,1,1,14,0,3,11,,,,1,7,1,7,,7,0,0,7,,0,0,0,7,,159,9,33,18,8,117,,,,10,18,11,7,,,,,,1,1,1,1,,,0,,,,3.55,7,7,7,7
File,"FileCleanerTestCase.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,30,1,8,5,1,22,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,2.75,1,1,1,1
File,"FileCleaningTracker.java",1,1,1,1,13,0,5,8,,,,3,0,0,13,,13,13,7,13,,2,1,0,10,,287,20,97,36,41,172,,,,43,68,33,35,,,,,,4,4,5,3,,,3,,,,1.77,22,22,23,15
File,"FileCleaningTrackerTestCase.java",1,1,2,1,16,2,14,1,,,,1,0,0,16,,16,16,3,16,,0,4,1,11,,351,57,260,66,175,39,,,,172,205,55,150,,,,,,5,5,6,1,,,3,,,,0.15,31,31,34,16
File,"FileDeleteStrategy.java",1,1,1,1,12,0,4,8,,,,2,0,2,7,,7,7,1,7,,1,0,3,3,,156,12,43,17,16,101,,,,16,28,15,13,,,,,,3,3,4,3,,,1,,,,2.35,10,10,12,9
File,"FileDeleteStrategyTestCase.java",1,1,1,1,17,0,15,2,,,,1,0,0,6,,6,6,1,6,,0,1,0,5,,162,14,114,36,73,37,,,,70,85,30,55,,,,,,3,3,3,1,,,1,,,,0.32,11,11,11,6
File,"FileEntry.java",1,1,1,1,10,0,3,6,,,,1,0,2,19,,19,19,8,19,,0,0,0,19,,271,27,89,37,37,155,,,,44,65,37,28,,,,,,3,3,8,1,,,1,,,,1.74,24,24,29,19
File,"FileExistsException.java",1,1,1,1,7,0,3,4,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,59,7,15,8,4,37,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,2.47,3,3,3,3
