Kind,Name,AvgLineCode,Cyclomatic,PercentLackOfCohesionModified,PercentLackOfCohesion,SumCyclomatic,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,PerformanceTest.java,26,,,,22,4,4,4,1,29,3,0,,,,3,1,0,5,,5,4,11,5,,0,1,0,4,,208,27,158,44,117,24,,,,107,132,46,86,,,,,13,13,13,1,,,3,,0.15,22,22,5
File,PoolImplUtils.java,15,,,,18,4,4,5,4,29,0,13,,,,1,4,0,4,,4,0,0,4,,1,3,0,0,,155,10,69,23,39,76,,,,31,51,23,28,,,,,5,5,6,5,,,4,,1.1,18,21,18
File,PoolTest.java,6,,,,10,1,1,1,1,6,0,0,,,,3,0,3,6,,6,6,0,6,,0,0,0,6,,91,12,63,30,26,17,,,,26,41,24,17,,,,,4,4,4,3,,,2,,0.27,10,10,8
File,PoolUtils.java,7,,,,148,1,1,1,1,15,0,7,,,,12,17,7,94,,94,77,22,94,,6,1,4,83,,1837,134,843,302,415,862,,,,312,497,194,303,,,,,5,5,5,1,,,2,,1.02,148,148,94
File,PooledObject.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,22,22,0,22,,22,0,0,0,,220,26,31,30,0,163,,,,25,26,26,0,,,,,0,0,0,0,,,0,,5.26,0,0,0
File,PooledObjectFactory.java,0,,,,0,0,0,0,0,0,0,0,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,141,6,8,7,0,127,,,,6,7,7,0,,,,,0,0,0,0,,,0,,15.88,0,0,0
File,PooledObjectState.java,0,,,,2,1,1,1,1,0,0,0,,,,1,0,0,2,,0,2,10,2,,0,0,0,2,,86,10,13,12,0,63,,,,1,2,2,0,,,,,1,1,1,1,,,0,,4.85,2,2,2
File,PooledSoftReference.java,4,,,,5,1,1,1,1,11,0,6,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,98,8,30,12,12,61,,,,14,21,10,11,,,,,1,1,1,1,,,0,,2.03,5,5,5
File,PrivateException.java,3,,,,1,1,1,1,1,3,0,0,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,29,3,7,4,2,19,,,,3,5,4,1,,,,,1,1,1,1,,,0,,2.71,1,1,1
File,ProxiedKeyedObjectPool.java,4,,,,14,1,1,1,1,5,0,0,,,,1,0,0,13,,13,13,2,13,,0,0,0,13,,134,20,78,42,27,36,,,,32,47,26,21,,,,,2,2,2,1,,,1,,0.46,14,14,13
